transaction_id,datetime_local,store_id,channel,membership_tier,coupon_used,items_count,avg_item_price_rmb,basket_value_rmb,wait_time_sec,satisfaction_1to5
829B325F,2025-09-22 07:00:00,WZ01,App,None,1,2,26.03,67.44,101,4
D2572B86,2025-09-22 07:02:00,WZ02,App,Silver,0,3,13.44,29.89,40,5
C00ABED5,2025-09-22 07:15:00,WZ02,App,None,1,1,25.1,15.98,30,5
CF82E250,2025-09-22 07:35:00,WZ03,In-Store,None,1,1,20.69,13.4,57,4
19DD1E41,2025-09-22 07:39:00,WZ03,Delivery,Silver,0,2,27.54,14.82,129,4
068C81F1,2025-09-22 07:43:00,WZ03,App,None,0,1,32.66,15.37,72,5
DABB4D40,2025-09-22 07:44:00,WZ03,App,None,1,1,23.46,14.06,26,5
33F88E20,2025-09-22 07:57:00,WZ02,App,None,0,1,26.22,15.66,87,5
C0C5E91D,2025-09-22 08:00:00,WZ01,Delivery,None,0,1,23.89,8.77,115,4
E36E1D73,2025-09-22 08:02:00,WZ03,In-Store,Silver,0,1,24.29,35.3,69,5
C486E611,2025-09-22 08:04:00,WZ02,App,None,1,6,17.49,114.92,131,4
ADE4F4F9,2025-09-22 08:04:00,WZ03,App,None,0,2,28.86,15.64,76,5
A6C301AF,2025-09-22 08:05:00,WZ02,In-Store,Silver,0,1,30.71,8.2,107,4
F718A47C,2025-09-22 08:07:00,WZ02,App,None,0,1,21.52,15.7,71,5
B9AD9FA1,2025-09-22 08:10:00,WZ01,App,Silver,0,1,29.57,21.15,74,5
E8A4EBBD,2025-09-22 08:14:00,WZ03,App,None,1,1,10.73,12.73,85,5
BC811BD8,2025-09-22 08:18:00,WZ01,In-Store,Silver,0,1,21.35,11.06,43,4
94DB3898,2025-09-22 08:20:00,WZ02,In-Store,None,0,1,31.58,12.43,38,5
9ADA1B51,2025-09-22 08:26:00,WZ02,App,None,0,2,19.2,18.38,120,4
ABDA0D1E,2025-09-22 08:26:00,WZ01,In-Store,Silver,0,2,21.87,17.17,71,5
BB1EFE5B,2025-09-22 08:27:00,WZ02,App,None,0,3,13.92,61.47,95,5
A3C977DF,2025-09-22 08:29:00,WZ01,In-Store,Gold,0,3,37.65,69.12,80,4
FCFBDCB6,2025-09-22 08:30:00,WZ03,In-Store,Silver,0,3,20.24,70.79,30,5
89973DD6,2025-09-22 08:30:00,WZ02,App,None,0,2,26.3,14.28,64,4
F5EA0C83,2025-09-22 08:30:00,WZ03,In-Store,Silver,0,2,23.1,45.58,122,4
97DA89D0,2025-09-22 08:35:00,WZ01,App,None,1,1,27.58,8.97,58,3
808E1252,2025-09-22 08:46:00,WZ02,In-Store,None,0,1,36.82,9.89,45,5
C88FFFFE,2025-09-22 08:49:00,WZ03,In-Store,None,0,3,25.23,24.09,61,4
4CD219E5,2025-09-22 08:50:00,WZ02,App,Silver,1,5,34.81,136.88,70,5
EDA945DE,2025-09-22 08:50:00,WZ01,In-Store,Silver,1,4,31.47,51.13,52,4
5A93576F,2025-09-22 08:51:00,WZ01,In-Store,Gold,0,1,17.08,9.55,78,4
B78D69FC,2025-09-22 08:56:00,WZ01,Delivery,None,0,1,16.98,10.95,129,4
C03E86D0,2025-09-22 09:00:00,WZ02,In-Store,None,0,3,27.65,65.08,117,4
EEB54DCF,2025-09-22 09:00:00,WZ02,App,Silver,0,2,24.65,44.04,86,4
7AE944D3,2025-09-22 09:01:00,WZ01,In-Store,None,0,5,26.94,34.41,109,5
EF5865BC,2025-09-22 09:02:00,WZ03,Delivery,Silver,0,5,31.02,46.91,141,4
7A239464,2025-09-22 09:03:00,WZ02,In-Store,Silver,0,1,17.03,13.31,41,4
130EF0A1,2025-09-22 09:13:00,WZ02,App,Gold,1,2,25.07,17.08,59,5
8D181E17,2025-09-22 09:22:00,WZ01,In-Store,Silver,0,2,17.29,12.86,119,5
30B1154B,2025-09-22 09:24:00,WZ01,In-Store,None,0,1,23.29,11.21,61,5
36F307F8,2025-09-22 09:27:00,WZ01,In-Store,None,0,1,24.92,8.86,57,5
1522DC6D,2025-09-22 09:33:00,WZ03,In-Store,None,0,1,33.13,5.86,61,5
A5006E84,2025-09-22 09:36:00,WZ01,In-Store,Silver,0,1,21.26,20.04,95,4
